Country ,Year ,ER_DD,RENEWABLE,NRRENTS,FDI,ENERGYIMPORTS,EDUCATION,CORRUPTION
Australia,2008,43.995,6.797058895,5.050854683,45160.02427,-126.2719965,36.14998627,8.7
Australia,2009,39.438,6.765441146,2.877488206,28683.26615,-132.2364601,36.88135529,8.7
Australia,2010,125.074,8.552761415,3.138176195,35210.73374,-153.6055915,37.60430908,8.7
Australia,2011,90.585,8.472197885,3.695216355,65554.89065,-143.7386205,38.34207153,8.8
Australia,2012,65.405,8.443705227,3.475532852,57550.42682,-153.2371784,41.28236389,8.5
Australia,2013,64.687,9.320593129,2.977023115,53997.29914,-172.4383403,39.53992844,8.1
Austria,2008,34.29,29.49512238,1.294546362,6310.797391,66.73517317,26.19185829,8.1
Austria,2009,53.505,30.77362771,1.656626805,14293.21343,63.85296796,26.89582443,7.9
Austria,2010,78.865,30.94887862,2.992090322,-22005.59716,64.83443953,27.74372101,7.9
Austria,2011,88.544,31.27288857,3.972322996,22974.39029,65.38544384,27.95615196,7.8
Austria,2012,75.817,33.70120289,3.99123581,5219.630177,61.95446559,28.73994255,6.9
Austria,2013,74.882,34.68700175,3.43830975,4513.224403,63.41705212,29.73884392,6.9
Canada,2008,86.196,22.6570559,11.81264672,70116.94593,-50.42825604,48.70680237,8.7
Canada,2009,137.328,22.58461337,9.184143426,20931.39983,-50.19771513,49.29072189,8.7
Canada,2010,141.288,22.14227981,8.56965502,29712.89662,-51.3748738,50.3116951,8.9
Canada,2011,127.033,22.65174145,9.348915172,38318.06482,-52.96207892,51.03301239,8.7
Canada,2012,121.096,23.09999369,10.53950919,49377.81137,-59.1141604,52.30541611,8.4
Canada,2013,123.377,23.04510049,14.35490304,67047.59655,-64.44374805,52.97143936,8.1
CzechRepublic,2008,10.924,7.844963726,1.518387123,2990.936685,26.93370952,14.49889469,5.2
CzechRepublic,2009,11.831,8.684377588,0.668920144,47658.57036,25.79573651,15.54443741,4.9
CzechRepublic,2010,5.852,9.736711358,0.90066778,17670.7356,28.69579559,16.76498222,4.6
CzechRepublic,2011,7.301,10.47894458,1.030271079,20764.48384,24.77472112,18.24317741,4.4
CzechRepublic,2012,8.432,11.13345922,0.598275266,39943.49432,23.3993144,19.27799225,4.9
CzechRepublic,2013,8.897,12.19430519,0.364036889,-24926.46586,28.10411363,20.45985985,4.8
Denmark,2008,18.793,18.54926116,0.790439022,8815.393022,-38.71495566,31.41438103,9.3
Denmark,2009,9.82,19.34276046,0.743212074,5271.613702,-30.45988348,32.4499054,9.3
Denmark,2010,35.545,21.35483157,0.838156181,10167.83438,-19.86202242,33.26275253,9.3
Denmark,2011,26.964,23.89897534,0.88846349,4188.736491,-14.5419458,33.70202637,9.4
