st ,stnum,yr,q,p,pbor,DPI,cpi1,taxrt,canada,mexico,producer,ftaxrt
AL,1,2008,78,375.9,343.7,30297,215.303,42.5,0,0,0,39
AR,3,2008,77,382.2,335.8,28270,215.303,59,0,0,0,39
AZ,2,2008,31.8,520.2,389.3,29391,215.303,200,0,1,0,39
CA,4,2008,30.3,419.7,402.6,37041,215.303,87,0,1,0,39
CO,5,2008,48.4,421.3,374,37039,215.303,84,0,0,0,39
CT,6,2008,47.4,535.8,513,46775,215.303,200,0,0,0,39
DE,7,2008,133.3,423.9,427.9,35880,215.303,115,0,0,0,39
FL,8,2008,67.9,360.6,365.5,34880,215.303,33.9,0,0,0,39
GA,9,2008,61.6,365.5,326.2,30082,215.303,37,0,0,1,39
IA,13,2008,57.6,454,335.8,32919,215.303,136,0,0,0,39
ID,10,2008,55.9,380.2,374,28638,215.303,57,1,0,0,39
IL,11,2008,47.9,497.9,335.8,37298,215.303,98,0,0,0,39
IN,12,2008,81.7,413.8,346.9,30437,215.303,99.5,0,0,0,39
KS,14,2008,51.7,411,335.8,33642,215.303,79,0,0,0,39
KY,15,2008,141.9,346.9,335.8,28424,215.303,30,0,0,1,39
LA,16,2008,87.9,360.7,343.7,32651,215.303,36,0,0,0,39
MA,19,2008,43.1,513,424,43134,215.303,151,0,0,0,39
MD,18,2008,43.3,427.9,356.7,41325,215.303,200,0,0,0,39
ME,17,2008,55.2,552.1,424,31593,215.303,200,1,0,0,39
MI,20,2008,52.4,535,409.3,31719,215.303,200,1,0,0,39
MN,21,2008,50.9,461,354,37300,215.303,149.3,1,0,0,39
MO,23,2008,100.1,335.8,346.9,31339,215.303,17,0,0,0,39
MS,22,2008,93.6,343.7,360.7,27077,215.303,18,0,0,0,39
MT,24,2008,52.6,496.8,354,30627,215.303,170,1,0,0,39
NC,31,2008,73.7,344.7,326.2,30311,215.303,35,0,0,1,39
ND,32,2008,74,354,439.1,35824,215.303,44,1,0,0,39
NE,25,2008,63.2,376.8,335.8,33678,215.303,64,0,0,0,39
NH,27,2008,113.5,424,509.5,38304,215.303,108,1,0,0,39
NJ,28,2008,34.2,609.4,423.9,43921,215.303,257.5,0,0,0,39
NM,29,2008,34,405.7,389.3,28922,215.303,91,0,1,0,39
NV,26,2008,61.9,402.6,380.2,35768,215.303,80,0,0,0,39
NY,30,2008,31.5,547.2,439.7,40254,215.303,275,1,0,0,39
OH,33,2008,64.7,441.4,346.9,31370,215.303,125,0,0,0,39
OK,34,2008,86.7,410,335.8,33143,215.303,103,0,0,0,39
OR,35,2008,50.4,428.8,380.2,31643,215.303,118,0,0,0,39
PA,36,2008,61.4,439.7,356.7,35413,215.303,135,0,0,0,39
RI,37,2008,43.6,578,513,36336,215.303,246,0,0,0,39
