Country_name,Shadow1,Advanced,pcgdp,corruptti,prot80,ef,inflate,urban,Internet,latitude,Literacy99_03
Albania,34.3,0,1126.106,-2.5,0,3.329166667,3.7873722,43.16333333,5.619125255,41.4,98.7129781
Algeria,33.9,0,1680.112333,-2.6,0,3.279166667,2.741534,58.27,14.78969657,27.9,69.8735004
Angola,45,0,604.1043667,,19.8,,119.3859367,34.92,3.26,12.6,67.4075478
Argentina,27.2,0,7219.470667,,2.7,,12.748015,89.92,108.68,34.2,97.1933116
Armenia,47.6,0,778.6567,-3,0,2.795833333,3.000255,64.65333333,27.36079004,39.6,99.4001565
Australia,12.8,1,24439.6,-8.633333333,23.5,1.908333333,3.384915667,91.5,499.9493673,27,99.9
Austria,9.3,1,34013.88333,-7.866666667,6.5,2.058333333,1.944531,65.8,421.4361602,46.8,99.9
Azerbaijan,59.4,0,641.2395333,-1.933333333,0,3.666666667,2.180445,50.27666667,27.43328548,40.5,98.7918027
Bahrain,,0,11200.16,-6.1,0.9,2.05,0.7312282,89.86,178.3189305,26.1,86.5487442
Bangladesh,38,0,397.4728667,-0.966666667,0.2,3.9125,3.292714333,23.91,1.571879494,24.3,47.4855001
Belarus,50.8,0,2123.487667,-4.5,0,4.183333333,44.02344,70.52666667,98.56895139,53.1,99.5907324
Belgium,19.6,1,31169.17333,-7.1,0.4,2.1,1.902552667,97.17,341.8723778,50.4,99.9
Benin,49.8,0,442.351,,2.8,,2.653566333,43.8,6.24,9,34.6578468
Bhutan,33.1,0,579.0076,,0,,2.9469175,8.26,16.77,27, 
Bolivia,67.2,0,947.2572333,-2.166666667,2.3,2.520833333,1.952356033,62.89,29.15518975,17.1,86.7236666
Bosnia and Herzegovina,35.3,0,1674.907667,,4,,,43.91,25.11,44.1,96.6630985
Botswana,33.8,0,3998.811,-6.033333333,26.8,2.808333333,7.927245667,51.11,32.0223363,21.6,81.1887098
Brazil,41.8,0,4615.959,-3.966666667,4,3.095833333,10.00168633,82.38666667,74.8388447,9.9,86.3678796
Bulgaria,36.5,0,1740.164,-3.933333333,0.4,3.270833333,5.109396,69.46,78.27323015,43.2,98.2035558
Burkina Faso,43.1,0,285.9880333,,1.6,3.375,3.072564667,17.46,2.525516618,12.6,21.8229162
Burundi,39.7,0,140.9317,,4.9,,6.461249333,9.62,1.41,3.6,59.3036212
Cambodia,52.2,0,397.8457,,0.1,,1.2780739,18.04,1.87,12.6, 
Cameroon,33.6,0,706.3566333,-2,18.1,3.495833333,3.655299,50.56333333,4.400356615,6.3,68.4091594
Canada,14.1,1,23514.73333,-8.866666667,29.6,1.970833333,2.515218333,80.08,497.1732161,60.3,99.9
Central African,46.9,0,324.5431667,,50,,3.3798685,42.23,1.2,7.2,48.5735626
Chad,47.8,0,235.8657667,,11.6,,5.248175667,24.57,1.82,15.3,25.6542149
Chile,19.4,0,5459.498333,-7.466666667,1.9,1.970833333,2.957240333,86.63666667,225.4292892,29.7,95.7166242
China,16.6,0,949.2761667,-3.466666667,0,3.55,0.284956767,37.68,44.78624191,35.1,90.9202104
Colombia,42.7,0,2291.959667,-3.7,0.9,3.0125,7.149086333,75.90666667,48.11937569,3.6,94.2
"Congo, Dem.",50.8,0,90.81905333,,29,,195.72959,31.27,0.816193,0,67.1698204
Costa Rica,26.3,0,3973.363333,-4.433333333,5.8,2.758333333,9.945394,60.08,170.0878348,9.9,94.8681871
Cote d'Ivoire,44.7,0,770.8609667,-2.4,4.7,3.079166667,3.579239667,44.48333333,5.749833906,8.1,48.7321692
Croatia,34.1,0,770.8609667,,0.4,,2.1963509,58.58,174.17,45,98.1466784
Cyprus,.,1,14891.72,-6.1,0.6,2.108333333,2.972425333,69.07,285.1261034,35.1,96.8036309
Czech Republic,18.3,1,5709.968,-3.833333333,4.6,2.245833333,2.197472233,74.26,212.1220413,49.5,99.9
Denmark,16.1,1,39450.91333,-9.5,95.2,1.866666667,2.288978333,85.28,445.0184334,55.8,99.9
Dominican Republic,34.8,0,2095.711667,-3.3,1.4,3.170833333,13.85204867,58.97,56.9485198,18.9,86.9964675
Ecuador,35.2,0,1790.947667,-2.233333333,1.9,3.5625,19.36381667,61.29,37.8188341,1.8,90.9840256
"Egypt, Arabian",35.4,0,1252.876667,-3.433333333,0.2,3.479166667,3.085163333,42.18666667,26.00663646,27,55.6
El Salvador,47.2,0,1767.363667,-3.566666667,2.4,2.245833333,2.578912333,59.09333333,50.73574166,13.5,79.7
Estonia,38.2,0,4304.696333,-5.566666667,66,1.7625,,69.47,361.6867515,59.4,99.7671959
Ethiopia,42,0,119.7324667,-3,3.8,3.7875,3.737769667,15.4,0.738998764,8.1, 
Fiji,33.8,0,2738.312667,,39.1,,3.069150033,50.95,48.27,18,
Finland,15.8,1,32314.98333,-9.766666667,93.1,1.925,1.3031209,61.02,469.4115486,63.9,99.9
France,13.2,1,30686.52,-6.633333333,2.4,2.691666667,1.896457333,76.10333333,309.7452741,45.9,99.9
Gabon,,0,4328.617667,,18.8,3.291666667,,82.92,19.37991368,0.9, 
Georgia,66.4,0,870.9337667,-2.1,0,3.516666667,5.104932,52.19,17.17698837,42.3,99.652349
Germany,15.3,1,32821.24667,-7.466666667,46.4,2.020833333,1.465283333,87.91666667,351.6510316,51.3,99.9
Ghana,43.2,0,433.7043333,-3.533333333,25.8,3.470833333,24.79886667,44.88,7.314948783,8.1,57.8974729
Greece,26.3,1,14198.85667,-4.233333333,0.1,2.770833333,3.512607333,60.61666667,124.8866268,38.7,95.9943592
Honduras,49.3,0,715.7654333,-2.566666667,2.6,3.3375,8.346261,45.18666667,21.96286627,15.3,80.0110318
"Hong Kong, China",15.6,1,25588.66333,,,,-2.409660333,100,429.71,,93.5
Hungary,24.3,0,5830.961,-5,21.6,2.383333333,6.374352333,64.76,179.9024672,46.8,99.3
Iceland,,1,31634.17,-9.4,96.6,2.0875,4.540743,92.66,641.6295607,64.8,
India,25.1,0,499.2306667,-2.733333333,1.1,3.7,3.960957667,28.09,13.31789118,19.8,61.0145564
Indonesia,24,0,1061.952667,-1.9,4.8,3.504166667,9.768361,44.35333333,26.3266806,5.4,87.9
Iran,19.7,0,1813.57,-3,0,4.5875,14.02606333,65.87,45.4031244,32.4,77
Ireland,14.1,1,30139.98,-7.3,1.1,1.683333333,4.340061333,59.64,275.6987434,53.1,99.9
Israel,22.6,1,16785.25333,-7.3,0.2,2.516666667,2.045994,91.57,319.2231175,31.5,96.9
Italy,23.2,1,21394.2,-5.333333333,0.4,2.266666667,2.641015,67.34,339.126302,42.3,98.4166221
Jamaica,38.4,0,2112.800333,-3.9,55.5,2.916666667,8.130056333,52.12,190.5850784,18,79.9201233
Japan,8.8,1,45392.36333,-7.066666667,0.9,2.245833333,-0.634236367,65.37,443.9579254,36,99.9
Jordan,20.4,0,1652.876,-4.666666667,0.3,2.791666667,1.983495,78.95333333,64.86751338,30.6,89.8923243
Kazakhstan,44.6,0,1931.494667,,2,,6.876426667,55.88,15.68,47.7,99.5126581
Kenya,34.8,0,322.7551667,-1.933333333,19.3,3.25,5.838532333,38.19,16.47023185,0.9,73.6105557
Kiribati,34,0,684.8047,,45.3,,,45.84,21.14,0.9,
"Korea, Republic",27.6,1,14759.60333,-4.333333333,12.2,2.529166667,3.448148333,80.08,559.0781331,36.9,97.9
Kuwait,20.7,0,11795.07,-5.3,0.1,2.5875,1.414541,96.16666667,143.8618104,29.7,82.9
Kyrgyz Republic,40.6,0,466.5618,,0,,4.189828,34.13,33.51,41.4,98.7016126
Lao PDR,33.2,0,477.4629333,,0.2,,11.31055633,20.22,2.71,18,69.1587568
Latvia,39.4,0,3047.486667,-3.633333333,14.1,2.425,2.437113,66.45333333,102.3281965,56.7,99.7465699
Lebanon,37.1,0,2926.681667,-3,1,2.916666667,,87.19,99.68708744,33.3,86.5
Lesotho,32.3,0,585.5244667,,29.8,,10.28984033,17.83,10.37,29.7,86.2544349
Libya,,0,,-2.1,0.1,4.658333333,,85.89,18.25671422,25.2, 
Lithuania,30.2,0,3002.033667,-4.766666667,.,2.3625,-0.025692633,66.81666667,139.1156202,55.8,99.6457535
Luxembourg,,1,59065.48667,-8.8,1.2,1.779166667,2.263790667,91.55,371.3043138,49.5,
"Macedonia, FYR",36.9,0,2447.281333,,1,,-0.202151943,59.51,48.79,41.4,96.1289328
Madagascar,41.2,0,232.1510333,-2.15,22,3.141666667,7.214932333,26.40666667,3.102656418,19.8,70.675777
Malawi,41.9,0,159.1238333,-2.966666667,31.5,3.675,15.67183633,15.91666667,2.283386906,13.5, 
Malaysia,31.4,0,4829.985667,-5.033333333,1.4,3.1375,1.427349,63.1,316.9986611,2.7,88.6877572
Maldives,30.9,0,2287.025667,,0,,-0.4218838,28.38,45.63,3.6,96.3264956
Mali,43.2,0,328.3168,-3,0.2,3.15,2.957703,31.58,2.146208159,17.1,24
Malta,,1,10182.765,,0.5,2.791666667,1.885344067,91.4,207.365463,35.1,92.5
Marshall Islands,27.9,0,1599.52,,.,,,66.18,20.71,9,
Mauritania,36.8,0,526.8191333,,0,,4.587501,60.37,3.43,19.8,51.207678
Mauritius,.,0,4520.706,,0.9,,5.445857,43.11,104.77,19.8,84.303089
